"Table 1.7.5. Relation of Gross Domestic Product, Gross National Product, Net National Product, National Income, and Personal Income"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: December 20, 2019 - Next Release Date January 30, 2020"
"Line","","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"25","Equals: Personal income",4913.8,5084.9,5420.9,5657.9,5947.1,6291.4,6678.5,7092.5,7606.7,8001.9,8652.6,9005.6,9159.0,9487.5,10035.1,10598.2,11381.7,12007.8,12442.2,12059.1,12551.6,13326.8,14010.1,14181.1,14991.7,15717.8,16121.2
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","    Gross domestic income (GDI)",5867.6,6065.2,6404.4,6702.6,7147.3,7546.7,8015.0,8566.0,9118.1,9663.8,10348.8,10695.0,11009.1,11471.9,12235.8,13091.7,14022.5,14434.2,14530.0,14256.8,14931.0,15595.8,16438.4,16945.2,17816.4,18479.7,18827.0
"27","    Average of GDP and GDI2",5915.4,6111.6,6462.4,6780.6,7217.3,7593.2,8044.1,8571.8,9090.4,9647.2,10300.6,10638.4,10972.8,11465.1,12224.8,13064.2,13918.6,14443.0,14621.4,14352.9,14961.5,15569.2,16317.7,16865.0,17671.8,18352.2,18771.0
"28","    Gross national income",5902.3,6096.8,6435.5,6733.8,7170.3,7574.7,8045.9,8589.3,9135.5,9689.4,10383.9,10743.7,11054.3,11530.3,12314.0,13169.7,14073.0,14543.2,14684.6,14398.7,15126.7,15832.2,16670.7,17175.9,18057.5,18704.3,19045.2
"29","    Gross national factor income3",5461.4,5620.0,5932.0,6216.5,6604.2,6990.1,7430.0,7943.3,8451.4,8976.3,9624.3,9969.8,10247.4,10692.3,11410.2,12198.6,13052.8,13476.9,13591.7,13321.9,14012.7,14679.8,15509.2,15952.6,16752.8,17333.3,17628.6
"30","    Net domestic product",5074.6,5225.7,5560.1,5855.1,6231.6,6517.4,6897.8,7338.2,7753.1,8231.7,8741.1,8982.3,9278.4,9739.2,10391.9,11065.6,11690.5,12199.1,12354.0,12077.5,12601.1,13068.1,13621.0,14103.6,14712.2,15308.3,15723.5
"31","    Net domestic income",4979.1,5132.8,5444.1,5699.1,6091.7,6424.4,6839.7,7326.6,7808.3,8264.9,8837.6,9095.4,9351.1,9752.8,10414.0,11120.7,11898.4,12181.4,12171.2,11885.3,12540.1,13121.4,13862.4,14263.9,15001.4,15563.2,15835.4
"32","    Net national factor income4",4572.9,4687.6,4971.8,5213.0,5548.6,5867.7,6254.7,6704.0,7141.7,7577.4,8113.1,8370.3,8589.4,8973.2,9588.4,10227.6,10928.7,11224.1,11232.8,10950.4,11621.8,12205.3,12933.2,13271.4,13937.8,14416.8,14637.0
"33","    Net domestic purchases",5152.5,5254.4,5594.8,5920.2,6324.1,6607.1,6994.2,7440.2,7915.8,8487.6,9116.2,9350.2,9703.8,10242.3,11011.0,11786.8,12461.4,12917.5,13077.1,12473.9,13115.0,13647.6,14189.6,14594.4,15219.9,15828.2,16242.3
"34","    Statistical discrepancy as a percentage of GDP",1.6,1.5,1.8,2.3,1.9,1.2,0.7,0.1,-0.6,-0.3,-0.9,-1.1,-0.7,-0.1,-0.2,-0.4,-1.5,0.1,1.2,1.3,0.4,-0.3,-1.5,-1.0,-1.6,-1.4,-0.6
"Legend / Footnotes:"
"1. Prior to 1959, current surplus of government enterprises (line 22) is not shown separately; subsidies are included net of the current surplus of government enterprises in line 18."
"2. The arithmetic average of gross domestic product and of gross domestic income."
"3. Consists of compensation of employees, proprietors' income with inventory valuation adjustment (IVA) and capital consumption adjustment (CCAdj), rental income of persons with CCAdj, corporate profits with IVA and CCAdj, net interest and miscellaneous payments, and consumption of fixed capital."
"4. Consists of gross national factor income less consumption of fixed capital."
